x,y,heading,curvature,speed
49.7336,62.3466,-2.5822,0.166779,6.101
49.1244,61.9099,-2.4229,0.257662,5.023
48.6103,61.364,-2.2862,0.106689,5.85
48.1422,60.7797,-2.2004,0.122348,6.573
47.7295,60.1548,-2.1208,0.090205,7.0
47.3598,59.5034,-2.0649,0.058993,7.0
47.0193,58.8362,-2.0323,0.027949,7.0
46.6927,58.162,-2.0233,0.003994,7.0
46.3641,57.4887,-2.0383,0.035903,7.0
46.0176,56.8246,-2.0759,0.064431,7.0
45.6394,56.178,-2.1348,0.092819,7.0
45.2173,55.5593,-2.2012,0.084429,7.0
44.7569,54.9685,-2.2569,0.064389,7.0
44.2685,54.4006,-2.2974,0.043665,7.0
43.7617,53.8489,-2.3222,0.022673,7.0
43.2457,53.3058,-2.3313,0.001567,7.0
42.729,52.7634,-2.3246,0.019599,7.0
42.2203,52.2134,-2.3018,0.041089,7.0
41.7288,51.6481,-2.2619,0.065355,7.0
41.2656,51.0594,-2.2055,0.085328,7.0
40.841,50.4424,-2.1336,0.106796,7.0
40.4672,49.7936,-2.0648,0.076768,6.531
40.1309,49.1238,-1.9565,0.211974,5.538
39.9049,48.4089,-1.8168,0.160374,6.298
39.7664,47.672,-1.7303,0.070334,6.976
39.667,46.9297,-1.6734,0.08159,7.0
39.6131,46.1825,-1.6221,0.055389,7.0
39.5902,45.4337,-1.592,0.024797,7.0
39.5813,44.6846,-1.5837,0.002682,7.0
39.5709,43.9356,-1.5958,0.029403,7.0
39.5439,43.187,-1.6275,0.055335,7.0
39.486,42.4402,-1.6752,0.072033,7.0
39.3878,41.6976,-1.7292,0.072046,7.0
39.2498,40.9614,-1.7827,0.070763,7.0
39.0729,40.2336,-1.8351,0.06933,7.0
38.8585,39.5159,-1.8865,0.067736,7.0
38.608,38.8099,-1.9373,0.06807,7.0
38.3218,38.1177,-1.9873,0.0652,7.0
38.0021,37.4403,-2.0353,0.06294,7.0
37.6509,36.7786,-2.0819,0.061584,7.0
37.2695,36.1339,-2.1276,0.060344,7.0
36.8594,35.5071,-2.1723,0.059213,7.0
36.4219,34.8991,-2.2165,0.058603,7.0
35.9581,34.3108,-2.2607,0.059483,7.0
35.4686,33.7438,-2.3041,0.056308,7.0
34.9556,33.198,-2.3459,0.055368,7.0
34.4204,32.6739,-2.3945,0.074311,7.0
33.8571,32.1805,-2.4791,0.151756,6.274
33.242,31.7546,-2.6248,0.237276,5.234
32.5615,31.4443,-2.8426,0.3444,4.344
31.8256,31.3181,-3.116,0.385523,4.106
31.0851,31.4065,2.8835,0.371976,4.18
30.3972,31.6951,2.6187,0.335588,4.401
29.8016,32.1464,2.3881,0.280345,4.815
29.3125,32.7127,2.2082,0.200127,5.671
28.9133,33.346,2.0843,0.130685,6.415
28.5778,34.0155,2.0021,0.088824,7.0
28.2876,34.7059,1.9384,0.08117,7.0
28.0398,35.4127,1.8776,0.081261,7.0
27.8354,36.1333,1.8153,0.084942,7.0
27.6773,36.8655,1.7609,0.060173,7.0
27.5523,37.6041,1.7104,0.074882,6.872
27.469,38.3482,1.6187,0.170041,5.938
27.4808,39.0958,1.4506,0.27894,4.827
