x,y,heading,curvature,speed
-69.8351,53.5791,-2.992,0.044012,6.922
-70.2427,53.5138,-2.9724,0.051114,6.565
-70.6457,53.4406,-2.9496,0.060837,6.2
-71.0415,53.3585,-2.9226,0.073284,5.832
-71.4274,53.2666,-2.8906,0.088944,5.465
-71.8007,53.1638,-2.8526,0.108389,5.101
-72.1584,53.0492,-2.8076,0.132303,4.745
-72.4976,52.922,-2.7547,0.161509,4.398
-72.8152,52.7817,-2.6929,0.197031,4.064
-73.108,52.6281,-2.6211,0.2402,3.744
-73.373,52.4619,-2.5383,0.292842,3.44
-73.6071,52.2843,-2.4434,0.357383,3.152
-73.808,52.0969,-2.335,0.436316,2.889
-73.9738,51.9017,-2.2115,0.529466,2.646
-74.1038,51.7001,-2.0721,0.627119,2.488
-74.198,51.4926,-1.9184,0.701688,2.367
-74.257,51.2774,-1.757,0.713745,2.367
-74.2812,51.0509,-1.5986,0.645963,2.367
-74.2701,50.8079,-1.4544,0.52415,2.577
-74.2218,50.5429,-1.331,0.391554,2.823
-74.134,50.2515,-1.2297,0.284753,3.142
-74.0062,49.9357,-1.1464,0.213569,3.507
-73.8399,49.6007,-1.0764,0.166522,3.888
-73.6377,49.2521,-1.017,0.132338,4.272
-73.4034,48.8948,-0.9666,0.106472,4.653
-73.1415,48.5333,-0.9239,0.086453,5.03
-72.8568,48.1711,-0.888,0.070679,5.4
-72.5545,47.8115,-0.858,0.058081,5.761
-72.2398,47.4574,-0.833,0.04793,6.11
-71.918,47.1114,-0.8124,0.039658,6.447
-71.5944,46.7762,-0.7956,0.032875,6.768
-71.2737,46.4538,-0.782,0.026737,7.0
-70.9574,46.1435,-0.7714,0.020676,7.0
-70.646,45.8434,-0.7637,0.014977,7.0
-70.3395,45.5519,-0.7584,0.009976,7.0
-70.038,45.2674,-0.7551,0.005871,7.0
-69.741,44.9886,-0.7533,0.002743,7.0
-69.4482,44.7143,-0.7526,0.000573,7.0
-69.1589,44.4435,-0.7527,0.00075,7.0
-68.8726,44.1752,-0.7531,0.001411,7.0
-68.5884,43.9086,-0.7537,0.001641,7.0
-68.3055,43.6429,-0.7543,0.001686,7.0
-68.0231,43.3774,-0.755,0.001773,7.0
-67.7403,43.1112,-0.7557,0.002082,7.0
-67.4565,42.8435,-0.7567,0.002728,7.0
-67.1709,42.5735,-0.758,0.003775,7.0
-66.8834,42.301,-0.7598,0.00524,7.0
-66.5944,42.0259,-0.7622,0.007081,7.0
-66.3045,41.7483,-0.7655,0.009226,7.0
-66.0141,41.4682,-0.7697,0.01161,7.0
-65.7238,41.1856,-0.7749,0.014151,7.0
